DATE,CUSTOMER,NAME,COMPANY,REPORT,STATE,COUNTRY,REFERENCE_URL,CAMPAIGN,gats
2022-05-10,Cuspera,6d508b66-0741-435c-92f4-f3d2e4507cb1_user_name,VEC,16a024ce-4e3f-4cb2-a8b2-ca2131acc8cf,Lagos,NG,https://www.cuspera.com/products/klue-x-5674,Organic,"{""V_0|Computer Software"": 3, ""CS_1|Small - (0 - 100M$)"": 3, ""V_1|Marketing and Advertising"": 2, ""V_2|Information Technology and Services"": 2, ""G_2.A_ALL.T_ALL.S_ALL|Increase sales & revenue"": 2, ""G_ALL.A_105.T_ALL.S_ALL.C_ALL|Product marketing"": 2, ""G_ALL.A_80.T_ALL.S_ALL.C_ALL|Competitive intelligence"": 2}"
2022-05-08,Cuspera,78c71198-b831-4b06-b356-04101c0dc47c_user_name,TomJones,0566e62f-4e50-4b00-a053-832c5c8d6883,UNKNOWN,UNKNOWN,https://www.cuspera.com/products/skimlinks-x-6631,Organic,"{""CS_1|Small - (0 - 100M$)"": 3, ""V_1|Marketing and Advertising"": 2, ""G_1.A_ALL.T_ALL.S_ALL|Acquire customers"": 2, ""G_20.A_ALL.T_ALL.S_ALL|Improve visibility"": 2, ""G_24.A_ALL.T_ALL.S_ALL|Scale best practices"": 2, ""G_3.A_ALL.T_ALL.S_ALL|Build brand awareness"": 2, ""G_ALL.A_61.T_ALL.S_ALL.C_ALL|Referral management"": 2, ""G_8.A_ALL.T_ALL.S_ALL|Improve stakeholder relations"": 2, ""G_ALL.A_62.T_ALL.S_ALL.C_ALL|Relationship marketing"": 2}"
2022-05-08,Cuspera,78c71198-b831-4b06-b356-04101c0dc47c_user_name,TomJones,0566e62f-4e50-4b00-a053-832c5c8d6883,California,US,https://www.cuspera.com/products/skimlinks-x-6631,Organic,"{""CS_1|Small - (0 - 100M$)"": 3, ""V_1|Marketing and Advertising"": 2, ""G_1.A_ALL.T_ALL.S_ALL|Acquire customers"": 2, ""G_20.A_ALL.T_ALL.S_ALL|Improve visibility"": 2, ""G_24.A_ALL.T_ALL.S_ALL|Scale best practices"": 2, ""G_3.A_ALL.T_ALL.S_ALL|Build brand awareness"": 2, ""G_ALL.A_61.T_ALL.S_ALL.C_ALL|Referral management"": 2, ""G_8.A_ALL.T_ALL.S_ALL|Improve stakeholder relations"": 2, ""G_ALL.A_62.T_ALL.S_ALL.C_ALL|Relationship marketing"": 2}"
2022-05-06,Cuspera,6915a5c7-9310-47d9-bd2e-a96871ecb6fb_user_name,Ks,2e127ea6-a799-4bbd-a552-6c1c7d7fe1cf,UNKNOWN,UNKNOWN,https://www.cuspera.com/products/capterra-x-2027,Organic,"{""V_21|Food & Beverages"": 2, ""CS_1|Small - (0 - 100M$)"": 3, ""G_ALL.A_ALL.T_23.S_6.C_ALL|G2crowd"": 2, ""G_1.A_ALL.T_ALL.S_ALL|Acquire customers"": 2, ""G_ALL.A_ALL.T_23.S_ALL.C_ALL|Review sites"": 2, ""G_9.A_ALL.T_ALL.S_ALL|Enhance customer relationships"": 2, ""G_ALL.A_60.T_ALL.S_ALL.C_ALL|Rating and review management"": 2}"
2022-05-06,Cuspera,6915a5c7-9310-47d9-bd2e-a96871ecb6fb_user_name,Ks,2e127ea6-a799-4bbd-a552-6c1c7d7fe1cf,Tokyo,JP,https://www.cuspera.com/products/capterra-x-2027,Organic,"{""V_21|Food & Beverages"": 2, ""CS_1|Small - (0 - 100M$)"": 3, ""G_ALL.A_ALL.T_23.S_6.C_ALL|G2crowd"": 2, ""G_1.A_ALL.T_ALL.S_ALL|Acquire customers"": 2, ""G_ALL.A_ALL.T_23.S_ALL.C_ALL|Review sites"": 2, ""G_9.A_ALL.T_ALL.S_ALL|Enhance customer relationships"": 2, ""G_ALL.A_60.T_ALL.S_ALL.C_ALL|Rating and review management"": 2}"
2022-05-10,Cuspera,6d508b66-0741-435c-92f4-f3d2e4507cb1_user_name,VEC,16a024ce-4e3f-4cb2-a8b2-ca2131acc8cf,UNKNOWN,UNKNOWN,https://www.cuspera.com/products/klue-x-5674,Organic,"{""V_0|Computer Software"": 3, ""CS_1|Small - (0 - 100M$)"": 3, ""V_1|Marketing and Advertising"": 2, ""V_2|Information Technology and Services"": 2, ""G_2.A_ALL.T_ALL.S_ALL|Increase sales & revenue"": 2, ""G_ALL.A_105.T_ALL.S_ALL.C_ALL|Product marketing"": 2, ""G_ALL.A_80.T_ALL.S_ALL.C_ALL|Competitive intelligence"": 2}"
2022-05-10,Cuspera,6d508b66-0741-435c-92f4-f3d2e4507cb1_user_name,VEC,16a024ce-4e3f-4cb2-a8b2-ca2131acc8cf,Lagos,NG,https://www.cuspera.com/products/klue-x-5674,Organic,"{""V_0|Computer Software"": 3, ""CS_1|Small - (0 - 100M$)"": 3, ""V_1|Marketing and Advertising"": 2, ""V_2|Information Technology and Services"": 2, ""G_2.A_ALL.T_ALL.S_ALL|Increase sales & revenue"": 2, ""G_ALL.A_105.T_ALL.S_ALL.C_ALL|Product marketing"": 2, ""G_ALL.A_80.T_ALL.S_ALL.C_ALL|Competitive intelligence"": 2}"
2022-05-08,Cuspera,78c71198-b831-4b06-b356-04101c0dc47c_user_name,TomJones,0566e62f-4e50-4b00-a053-832c5c8d6883,UNKNOWN,UNKNOWN,https://www.cuspera.com/products/skimlinks-x-6631,Organic,"{""CS_1|Small - (0 - 100M$)"": 3, ""V_1|Marketing and Advertising"": 2, ""G_1.A_ALL.T_ALL.S_ALL|Acquire customers"": 2, ""G_20.A_ALL.T_ALL.S_ALL|Improve visibility"": 2, ""G_24.A_ALL.T_ALL.S_ALL|Scale best practices"": 2, ""G_3.A_ALL.T_ALL.S_ALL|Build brand awareness"": 2, ""G_ALL.A_61.T_ALL.S_ALL.C_ALL|Referral management"": 2, ""G_8.A_ALL.T_ALL.S_ALL|Improve stakeholder relations"": 2, ""G_ALL.A_62.T_ALL.S_ALL.C_ALL|Relationship marketing"": 2}"
2022-05-08,Cuspera,78c71198-b831-4b06-b356-04101c0dc47c_user_name,TomJones,0566e62f-4e50-4b00-a053-832c5c8d6883,California,US,https://www.cuspera.com/products/skimlinks-x-6631,Organic,"{""CS_1|Small - (0 - 100M$)"": 3, ""V_1|Marketing and Advertising"": 2, ""G_1.A_ALL.T_ALL.S_ALL|Acquire customers"": 2, ""G_20.A_ALL.T_ALL.S_ALL|Improve visibility"": 2, ""G_24.A_ALL.T_ALL.S_ALL|Scale best practices"": 2, ""G_3.A_ALL.T_ALL.S_ALL|Build brand awareness"": 2, ""G_ALL.A_61.T_ALL.S_ALL.C_ALL|Referral management"": 2, ""G_8.A_ALL.T_ALL.S_ALL|Improve stakeholder relations"": 2, ""G_ALL.A_62.T_ALL.S_ALL.C_ALL|Relationship marketing"": 2}"
2022-05-06,Cuspera,6915a5c7-9310-47d9-bd2e-a96871ecb6fb_user_name,Ks,2e127ea6-a799-4bbd-a552-6c1c7d7fe1cf,UNKNOWN,UNKNOWN,https://www.cuspera.com/products/capterra-x-2027,Organic,"{""V_21|Food & Beverages"": 2, ""CS_1|Small - (0 - 100M$)"": 3, ""G_ALL.A_ALL.T_23.S_6.C_ALL|G2crowd"": 2, ""G_1.A_ALL.T_ALL.S_ALL|Acquire customers"": 2, ""G_ALL.A_ALL.T_23.S_ALL.C_ALL|Review sites"": 2, ""G_9.A_ALL.T_ALL.S_ALL|Enhance customer relationships"": 2, ""G_ALL.A_60.T_ALL.S_ALL.C_ALL|Rating and review management"": 2}"
2022-05-06,Cuspera,6915a5c7-9310-47d9-bd2e-a96871ecb6fb_user_name,Ks,2e127ea6-a799-4bbd-a552-6c1c7d7fe1cf,Tokyo,JP,https://www.cuspera.com/products/capterra-x-2027,Organic,"{""V_21|Food & Beverages"": 2, ""CS_1|Small - (0 - 100M$)"": 3, ""G_ALL.A_ALL.T_23.S_6.C_ALL|G2crowd"": 2, ""G_1.A_ALL.T_ALL.S_ALL|Acquire customers"": 2, ""G_ALL.A_ALL.T_23.S_ALL.C_ALL|Review sites"": 2, ""G_9.A_ALL.T_ALL.S_ALL|Enhance customer relationships"": 2, ""G_ALL.A_60.T_ALL.S_ALL.C_ALL|Rating and review management"": 2}"
2022-05-06,Cuspera,6915a5c7-9310-47d9-bd2e-a96871ecb6fb_user_name,Ks,2e127ea6-a799-4bbd-a552-6c1c7d7fe1cf,UNKNOWN,UNKNOWN,https://www.cuspera.com/products/capterra-x-2027,Organic,"{""V_21|Food & Beverages"": 2, ""CS_1|Small - (0 - 100M$)"": 3, ""G_ALL.A_ALL.T_23.S_6.C_ALL|G2crowd"": 2, ""G_1.A_ALL.T_ALL.S_ALL|Acquire customers"": 2, ""G_ALL.A_ALL.T_23.S_ALL.C_ALL|Review sites"": 2, ""G_9.A_ALL.T_ALL.S_ALL|Enhance customer relationships"": 2, ""G_ALL.A_60.T_ALL.S_ALL.C_ALL|Rating and review management"": 2}"
2022-05-06,Cuspera,6915a5c7-9310-47d9-bd2e-a96871ecb6fb_user_name,Ks,2e127ea6-a799-4bbd-a552-6c1c7d7fe1cf,Tokyo,JP,https://www.cuspera.com/products/capterra-x-2027,Organic,"{""V_21|Food & Beverages"": 2, ""CS_1|Small - (0 - 100M$)"": 3, ""G_ALL.A_ALL.T_23.S_6.C_ALL|G2crowd"": 2, ""G_1.A_ALL.T_ALL.S_ALL|Acquire customers"": 2, ""G_ALL.A_ALL.T_23.S_ALL.C_ALL|Review sites"": 2, ""G_9.A_ALL.T_ALL.S_ALL|Enhance customer relationships"": 2, ""G_ALL.A_60.T_ALL.S_ALL.C_ALL|Rating and review management"": 2}"
2022-05-06,Cuspera,6915a5c7-9310-47d9-bd2e-a96871ecb6fb_user_name,Ks,2e127ea6-a799-4bbd-a552-6c1c7d7fe1cf,UNKNOWN,UNKNOWN,https://www.cuspera.com/products/capterra-x-2027,Organic,"{""V_21|Food & Beverages"": 2, ""CS_1|Small - (0 - 100M$)"": 3, ""G_ALL.A_ALL.T_23.S_6.C_ALL|G2crowd"": 2, ""G_1.A_ALL.T_ALL.S_ALL|Acquire customers"": 2, ""G_ALL.A_ALL.T_23.S_ALL.C_ALL|Review sites"": 2, ""G_9.A_ALL.T_ALL.S_ALL|Enhance customer relationships"": 2, ""G_ALL.A_60.T_ALL.S_ALL.C_ALL|Rating and review management"": 2}"
2022-05-06,Cuspera,6915a5c7-9310-47d9-bd2e-a96871ecb6fb_user_name,Ks,2e127ea6-a799-4bbd-a552-6c1c7d7fe1cf,Tokyo,JP,https://www.cuspera.com/products/capterra-x-2027,Organic,"{""V_21|Food & Beverages"": 2, ""CS_1|Small - (0 - 100M$)"": 3, ""G_ALL.A_ALL.T_23.S_6.C_ALL|G2crowd"": 2, ""G_1.A_ALL.T_ALL.S_ALL|Acquire customers"": 2, ""G_ALL.A_ALL.T_23.S_ALL.C_ALL|Review sites"": 2, ""G_9.A_ALL.T_ALL.S_ALL|Enhance customer relationships"": 2, ""G_ALL.A_60.T_ALL.S_ALL.C_ALL|Rating and review management"": 2}"
2022-05-10,Cuspera,6d508b66-0741-435c-92f4-f3d2e4507cb1_user_name,VEC,16a024ce-4e3f-4cb2-a8b2-ca2131acc8cf,UNKNOWN,UNKNOWN,https://www.cuspera.com/products/klue-x-5674,Organic,"{""V_0|Computer Software"": 3, ""CS_1|Small - (0 - 100M$)"": 3, ""V_1|Marketing and Advertising"": 2, ""V_2|Information Technology and Services"": 2, ""G_2.A_ALL.T_ALL.S_ALL|Increase sales & revenue"": 2, ""G_ALL.A_105.T_ALL.S_ALL.C_ALL|Product marketing"": 2, ""G_ALL.A_80.T_ALL.S_ALL.C_ALL|Competitive intelligence"": 2}"
2022-05-10,Cuspera,6d508b66-0741-435c-92f4-f3d2e4507cb1_user_name,VEC,16a024ce-4e3f-4cb2-a8b2-ca2131acc8cf,Lagos,NG,https://www.cuspera.com/products/klue-x-5674,Organic,"{""V_0|Computer Software"": 3, ""CS_1|Small - (0 - 100M$)"": 3, ""V_1|Marketing and Advertising"": 2, ""V_2|Information Technology and Services"": 2, ""G_2.A_ALL.T_ALL.S_ALL|Increase sales & revenue"": 2, ""G_ALL.A_105.T_ALL.S_ALL.C_ALL|Product marketing"": 2, ""G_ALL.A_80.T_ALL.S_ALL.C_ALL|Competitive intelligence"": 2}"
2022-05-10,Cuspera,f8183952-d0fb-4c32-ad7b-1e596f5f6f7e_user_name,Essentialplugin.com,467801cb-a589-414d-a33a-3e207b08b0d8,UNKNOWN,UNKNOWN,https://www.cuspera.com/products/idevaffiliate-x-6806,Organic,"{""V_5|Financial Services"": 3, ""CS_1|Small - (0 - 100M$)"": 3, ""V_1|Marketing and Advertising"": 2, ""G_1.A_ALL.T_ALL.S_ALL|Acquire customers"": 2, ""G_ALL.A_61.T_ALL.S_ALL.C_ALL|Referral management"": 2, ""G_ALL.A_38.T_ALL.S_ALL.C_ALL|Influencer management"": 2}"
2022-05-10,Cuspera,f8183952-d0fb-4c32-ad7b-1e596f5f6f7e_user_name,Essentialplugin.com,467801cb-a589-414d-a33a-3e207b08b0d8,Maharashtra,IN,https://www.cuspera.com/products/idevaffiliate-x-6806,Organic,"{""V_5|Financial Services"": 3, ""CS_1|Small - (0 - 100M$)"": 3, ""V_1|Marketing and Advertising"": 2, ""G_1.A_ALL.T_ALL.S_ALL|Acquire customers"": 2, ""G_ALL.A_61.T_ALL.S_ALL.C_ALL|Referral management"": 2, ""G_ALL.A_38.T_ALL.S_ALL.C_ALL|Influencer management"": 2}"
